hhid,state,muni,local,female_hh,age_hh,educ_hh,ethnicity_hh,educ_sp,age_hh2,dirtfloor97,bathroom97,electricity97,homeown97,primary,telesec,healthcenter,mobilehealth,min_dist,hhsize97,lnup_cwagepm,lnup_cwagepw,lnup_cwagepc,intention_to_treat,treatment,me,mef,enterprise_m,comuid,landpieces,land,ha,hairrigation,haseasonality,ani,ani1,ani2,no4,small4,big4,landlessmall4,landsmall4,vani,vani1,vani2,ani_sales,ani_sales_a,ani_prod,ani_prod_sales_a,crop_sales,ag_exp,credit,foodexp,nonfood,foodexp_pp,nonfoodexp_pp,hhsize,year
497822,12,2,14,0,30,3,0,0,900,1,0,0,1,1,0,1,1,124.819966,5,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,20181.91,1925.728,18256.18,1,162.3005,0,NA,2979.664,392.813,0,665.0928,176.4017,110.8488,29.40028,6,1999
497826,12,2,14,0,34,5,0,0,1156,0,0,0,1,1,0,1,1,124.819966,8,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,3,0,3,1,1,1,0,0,1,0,0,1346.68,508.5782,838.1015,0,NA,0,NA,485.2596,91.65636,0,1571.112,969.6639,196.389,121.208,8,1999
497829,12,2,14,0,26,0,0,6,676,1,0,1,1,1,0,1,1,124.819966,4,6.339743,6.339743,6.157774,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,407.8598,0,407.8598,0,NA,0,NA,NA,NA,0,308.7931,128.5359,77.19827,32.13397,4,1999
497833,12,2,14,0,48,0,0,0,2304,0,0,1,1,1,0,1,1,124.819966,4,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,4,0,4,1,1,1,0,0,1,0,0,6506.657,3597.166,2909.491,0,NA,0,NA,NA,130.9377,0,2806.284,697.7799,935.4282,232.5933,3,1999
497834,12,2,14,0,37,2,0,4,1369,1,0,1,1,1,0,1,1,124.819966,10,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,3,0,3,1,1,1,0,0,1,0,0,1670.703,762.8673,907.8361,0,NA,0,NA,NA,209.5002,0,329.1531,446.6541,32.91531,44.66541,10,1999
497836,12,2,14,0,49,0,0,0,2401,0,0,1,1,1,0,1,1,124.819966,7,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,4,0,4,1,1,1,0,0,1,0,0,4890.221,2180.017,2710.204,0,NA,0,NA,NA,NA,0,420.773,634.2314,42.0773,63.42315,10,1999
497839,12,2,14,0,31,0,0,4,961,1,0,1,1,1,0,1,1,124.819966,5,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,3908.297,508.5782,3399.719,1,0,0,NA,NA,36.66254,0,149.3065,44.78068,29.86131,8.956136,5,1999
497844,12,2,14,0,75,0,0,2.835725,5625,1,0,1,1,1,0,1,1,124.819966,2,6.339743,6.339743,6.157774,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,27.14665,56.56507,27.14665,56.56507,1,1999
497845,12,2,14,0,51,0,0,0,2601,0,0,1,1,1,0,1,1,124.819966,7,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1.5,0,1.5,1,1,1,0,1,0,0,1,8567.524,762.8673,7804.657,0,NA,0,NA,510.7996,128.3189,0,407.1997,327.5937,58.17138,46.7991,7,1999
497846,12,2,14,0,26,0,0,0,676,0,0,1,1,1,0,1,1,124.819966,7,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1.5,0,1.5,1,1,1,0,1,0,0,1,739.5325,508.5782,230.9544,0,NA,0,NA,NA,NA,0,339.3331,153.1114,48.47615,21.87306,7,1999
497852,12,2,14,0,33,5,0,6,1089,1,0,1,1,1,0,1,1,124.819966,8,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,2229.301,1925.728,303.5736,0,NA,0,NA,NA,NA,0,604.0129,415.3271,100.6688,69.22118,6,1999
497853,12,2,14,0,31,4,0,0,961,1,0,0,1,1,0,1,1,124.819966,6,6.339743,6.339743,6.157774,1,NA,0,0,0,1,1,1,3,0,3,1,1,1,0,0,1,0,0,843.8188,508.5782,335.2406,0,NA,0,NA,2128.332,130.9377,0,196.8132,91.25266,28.11617,13.03609,7,1999
497854,12,2,14,0,81,0,0,0,6561,1,0,0,1,1,0,1,1,124.819966,2,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,3,0,3,1,1,1,0,0,1,0,0,635.2463,508.5782,126.6681,0,NA,0,NA,NA,27.49691,0,237.5332,31.42504,118.7666,15.71252,2,1999
497856,12,2,14,0,60,0,0,0,3600,1,0,1,1,1,0,1,1,124.819966,6,6.339743,6.339743,6.157774,1,NA,1,1,0,1,2,1,4.5,0,4.5,1,1,1,0,0,1,0,0,2598.358,1017.156,1581.202,0,NA,0,NA,4256.663,104.7501,0,397.0197,108.4471,66.16995,18.07451,6,1999
497858,12,2,14,0,28,6,0,6,784,0,0,1,1,1,0,1,1,124.819966,5,6.339743,6.339743,6.157774,1,NA,0,0,0,1,1,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,NA,NA,0,NA,3405.331,65.46883,0,631.1595,565.6641,126.2319,113.1328,5,1999
497859,12,2,14,1,78,0,0,2.835725,6084,1,0,1,0,1,0,1,1,124.819966,2,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,2379.304,2180.017,199.2873,0,NA,0,NA,2553.998,523.7507,0,413.9864,104.719,137.9955,34.90634,3,1999
497861,12,2,14,0,51,3,0,0,2601,0,0,1,1,1,0,1,1,124.819966,10,6.339743,6.339743,6.157774,1,NA,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,4267.647,3597.166,670.4812,0,NA,0,NA,5107.996,130.9377,0,817.7927,261.2272,90.86586,29.02524,9,1999
497862,12,2,14,0,36,3,0,0,1296,1,0,1,1,1,0,1,1,124.819966,7,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,9838.689,1925.728,7912.962,0,NA,0,NA,851.3326,26.18753,0,359.6931,187.8684,51.38472,26.83834,7,1999
497863,12,2,14,0,35,5,0,2,1225,1,0,1,1,1,0,1,1,124.819966,9,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,4,0,4,1,1,1,0,0,1,0,0,3648.962,1671.438,1977.523,0,NA,0,NA,1702.665,654.6883,0,302.0064,410.8264,33.55627,45.64737,9,1999
497864,12,2,14,0,50,0,0,0,2500,1,0,1,1,1,0,1,1,124.819966,11,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,5198.135,4360.033,838.1015,0,NA,1,NA,NA,NA,0,736.3528,628.9143,66.94116,57.17403,11,1999
497865,12,2,14,0,35,3,0,0,1225,0,0,1,1,1,0,1,1,124.819966,5,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,4,0,4,1,0,1,0,0,1,0,0,271.9066,0,271.9066,0,NA,0,NA,NA,NA,0,576.8662,246.173,115.3732,49.234610000000004,5,1999
497866,12,2,14,0,79,0,0,2.835725,6241,1,0,1,1,1,0,1,1,124.819966,1,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,3,0,3,1,1,0,0,0,1,0,0,508.5782,508.5782,0,0,NA,0,NA,NA,NA,0,525.9662,51.55387,262.9831,25.77694,2,1999
497867,12,2,14,1,57,0,0,2.835725,3249,1,0,1,1,1,0,1,1,124.819966,5,6.339743,6.339743,6.157774,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,264.6798,108.3177,264.6798,108.3177,1,1999
497868,12,2,14,0,25,0,0,0,625,1,0,1,1,1,0,1,1,124.819966,4,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,NA,NA,0,NA,NA,NA,0,536.1462,236.0413,134.0366,59.01031,4,1999
497871,12,2,14,0,39,0,0,0,1521,1,0,1,1,1,0,1,1,124.819966,7,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,2,0,2,1,0,1,0,1,0,0,1,63.33405,0,63.33405,0,NA,0,NA,NA,27.49691,0,804.2194,221.8106,114.8885,31.68723,7,1999
497872,12,2,14,1,36,0,0,2.835725,1296,1,0,1,1,1,0,1,1,124.819966,9,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,707.8655,508.5782,199.2873,0,NA,0,NA,NA,124.3908,0,858.5127,211.1573,95.3903,23.46192,9,1999
497873,12,2,14,0,32,0,0,6,1024,0,0,1,1,1,0,1,1,124.819966,7,6.339743,6.339743,6.157774,1,NA,0,0,0,1,1,1,4,0,4,1,1,0,0,0,1,0,0,508.5782,508.5782,0,0,NA,0,NA,425.6663,104.7501,0,624.3729,269.2443,89.19612,38.46347,7,1999
497874,12,2,14,0,23,3,0,0,529,1,0,0,1,1,0,1,1,124.819966,3,6.339743,6.339743,6.157774,1,NA,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,1516.4,254.2891,1262.111,1,486.9014,0,NA,4256.663,52.37506,0,620.9796,39.2813,155.2449,9.820324,4,1999
497875,12,2,14,0,40,3,0,3,1600,1,0,1,1,1,0,1,1,124.819966,7,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,1970.439,508.5782,1461.861,0,NA,0,NA,2553.998,130.9377,1,461.493,488.1672,92.2986,97.63344,5,1999
497876,12,2,14,0,59,3,0,0,3481,0,0,1,1,1,0,1,1,124.819966,9,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,11833.39,508.5782,11324.81,0,NA,0,NA,1702.665,39.2813,0,546.3262,970.4445,54.63262,97.04445,10,1999
497877,12,2,14,0,38,0,0,2,1444,1,0,0,1,1,0,1,1,124.819966,6,6.339743,6.339743,6.157774,1,1,0,0,0,1,2,1,NA,0,NA,1,1,1,NA,NA,NA,NA,NA,5797.723,2434.306,3363.417,0,NA,0,NA,1021.599,130.9377,0,634.5529,625.0342,90.65041,89.2906,7,1999
497878,12,2,14,0,57,0,0,0,3249,1,0,1,1,1,0,1,1,124.819966,2,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1.5,0,1.5,1,1,1,0,1,0,0,1,412.6242,254.2891,158.3351,0,NA,0,NA,NA,117.8439,0,84.83327,26.71128,84.83327,26.71128,1,1999
497879,12,2,14,0,26,2,0,6,676,1,0,1,1,1,0,1,1,124.819966,7,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,825.2484,508.5782,316.6703,0,NA,0,NA,0,19.64065,1,773.6794,637.5414,96.70993,79.69268,8,1999
497881,12,2,14,0,40,0,0,2,1600,1,0,1,1,1,0,1,1,124.819966,9,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,3,0,3,1,1,1,0,0,1,0,0,898.8206,762.8673,135.9533,0,NA,0,NA,766.1993,39.2813,0,705.8128,91.42206,78.42365,10.15801,9,1999
497882,12,2,14,0,29,0,0,4,841,0,0,1,1,1,0,1,1,124.819966,5,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,9731.519,1925.728,7805.791,1,162.3005,0,NA,595.9328,78.56259,0,0,442.2634,0,73.71057,6,1999
497883,12,2,14,0,56,0,0,0,3136,1,0,1,1,1,0,1,1,124.819966,8,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,3,0,3,1,1,1,0,0,1,0,0,13561.79,5895.297,7666.49,1,405.7512,0,NA,1532.399,39.2813,0,1299.646,828.5426,162.4557,103.5678,8,1999
497884,12,2,14,0,25,5,0,5,625,0,0,1,1,1,0,1,1,124.819966,4,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,9940.784,762.8673,9177.917,1,227.2206,0,NA,638.4995,45.82818,0,844.9393,1077.216,168.9879,215.4432,5,1999
497888,12,2,14,0,41,2,0,6,1681,0,0,1,1,1,0,1,1,124.819966,9,6.339743,6.339743,6.157774,1,NA,0,0,0,1,1,1,3,0,3,1,1,1,0,0,1,0,0,9821.172,4223.858,5597.313,0,NA,0,NA,NA,NA,1,553.1129,133.239,61.45699,14.80433,9,1999
497892,12,2,14,0,31,3,0,0,961,1,0,1,1,1,0,1,1,124.819966,5,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,3932.407,3597.166,335.2406,0,NA,0,NA,NA,NA,0,505.6063,297.3696,101.1213,59.47392,5,1999
497894,12,2,14,0,35,1,0,2,1225,0,0,1,1,1,0,1,1,124.819966,9,6.339743,6.339743,6.157774,1,NA,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,2038.346,1671.438,366.9077,0,NA,0,NA,NA,NA,1,386.8397,224.4449,42.98219,24.93833,9,1999
497895,12,2,14,0,46,4,0,0,2116,0,0,1,1,1,0,1,1,124.819966,10,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,1.5,0,1.5,1,1,1,0,1,0,0,1,1967.091,508.5782,1458.513,0,NA,0,NA,NA,78.56259,0,295.2198,375.3038,29.52198,37.53038,10,1999
497896,12,2,14,0,25,4,0,4,625,1,0,1,0,1,0,1,1,124.819966,3,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,0.5,0,0.5,1,1,1,0,1,0,0,1,548.5775,254.2891,294.2884,0,NA,0,NA,NA,23.56878,0,200.2065,224.495,66.7355,74.83166,3,1999
497897,12,2,14,0,74,0,0,0,5476,1,0,1,1,1,0,1,1,124.819966,2,6.339743,6.339743,6.157774,1,1,0,0,0,1,1,1,8,0,8,1,1,1,0,0,1,0,0,5842.317,254.2891,5588.028,0,NA,1,NA,851.3326,281.516,0,400.413,281.7913,200.2065,140.8956,2,1999
497898,12,2,14,0,78,0,1,0,6084,1,0,1,1,1,0,1,1,124.819966,2,6.339743,6.339743,6.157774,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,3342.877,3342.877,0,0,NA,0,NA,NA,NA,0,67.86662,33.16569,67.86662,33.16569,1,1999
497899,12,2,14,0,29,3,0,0,841,1,0,1,1,1,0,1,1,124.819966,5,6.339743,6.339743,6.157774,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,543.8131,0,543.8131,0,NA,0,NA,NA,NA,0,444.5263,246.3131,88.90527,49.26262,5,1999
