hhid,state,muni,local,female_hh,age_hh,educ_hh,ethnicity_hh,educ_sp,age_hh2,dirtfloor97,bathroom97,electricity97,homeown97,primary,telesec,healthcenter,mobilehealth,min_dist,hhsize97,lnup_cwagepm,lnup_cwagepw,lnup_cwagepc,intention_to_treat,treatment,me,mef,enterprise_m,comuid,landpieces,land,ha,hairrigation,haseasonality,ani,ani1,ani2,no4,small4,big4,landlessmall4,landsmall4,vani,vani1,vani2,ani_sales,ani_sales_a,ani_prod,ani_prod_sales_a,crop_sales,ag_exp,credit,foodexp,nonfood,foodexp_pp,nonfoodexp_pp,hhsize,year
497821,12,2,14,0,25,3,1,4,625,0,0,0,1,1,0,1,1,124.819966,5,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
497822,12,2,14,0,28,3,0,0,784,1,0,0,1,1,0,1,1,124.819966,5,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,20028.34,2180.017,17848.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
497826,12,2,14,0,32,5,0,0,1024,0,0,0,1,1,0,1,1,124.819966,8,0,0,0,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,5326.811,762.8673,4563.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
497829,12,2,14,0,24,0,0,6,576,1,0,1,1,1,0,1,1,124.819966,4,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,14070.12,3342.877,10727.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
497833,12,2,14,0,47,0,0,0,2209,0,0,1,1,1,0,1,1,124.819966,4,0,0,0,1,1,0,0,0,1,1,1,3,0,3,1,1,1,0,0,1,0,0,20874.42,5268.604,15605.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
497834,12,2,14,0,36,2,0,4,1296,1,0,1,1,1,0,1,1,124.819966,10,0,0,0,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,25644.58,2434.306,23210.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
497836,12,2,14,0,48,0,0,0,2304,0,0,1,1,1,0,1,1,124.819966,7,0,0,0,1,1,0,0,0,1,1,1,3,0,3,1,1,1,0,0,1,0,0,7889.769,4360.033,3529.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
497838,12,2,14,0,54,0,0,0,2916,0,0,1,1,1,0,1,1,124.819966,11,0,0,0,1,NA,0,0,0,1,1,1,8,0,8,1,1,1,0,0,1,0,0,3656.403,254.2891,3402.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
497839,12,2,14,0,30,0,0,4,900,1,0,1,1,1,0,1,1,124.819966,5,0,0,0,1,1,0,0,0,1,1,1,2,0,2,1,1,1,0,1,0,0,1,5412.076,254.2891,5157.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
497844,12,2,14,0,73,0,0,2.835725,5329,1,0,1,1,1,0,1,1,124.819966,2,0,0,0,1,1,0,0,0,1,1,1,7,0,7,1,1,1,0,0,1,0,0,8103.709,254.2891,7849.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
